capture_id,recording_group,split,label
rsp03_t1_RSP-03_01_w0000,rsp03_t1,test,1
rsp03_t1_RSP-03_01_w0001,rsp03_t1,test,1
rsp03_t1_RSP-03_01_w0002,rsp03_t1,test,0
rsp03_t1_RSP-03_01_w0003,rsp03_t1,test,0
rsp03_t1_RSP-03_01_w0004,rsp03_t1,test,0
rsp03_t1_RSP-03_01_w0005,rsp03_t1,test,0
rsp03_t1_RSP-03_01_w0006,rsp03_t1,test,1
rsp03_t1_RSP-03_01_w0007,rsp03_t1,test,1
rsp03_t1_RSP-03_01_w0008,rsp03_t1,test,1
rsp03_t1_RSP-03_01_w0009,rsp03_t1,test,0
rsp03_t1_RSP-03_01_w0010,rsp03_t1,test,0
rsp03_t1_RSP-03_01_w0011,rsp03_t1,test,0
rsp03_t1_RSP-03_01_w0012,rsp03_t1,test,0
rsp03_t1_RSP-03_01_w0013,rsp03_t1,test,0
rsp03_t1_RSP-03_01_w0014,rsp03_t1,test,0
rsp03_t1_RSP-03_01_w0015,rsp03_t1,test,0
rsp03_t1_RSP-03_01_w0016,rsp03_t1,test,0
rsp03_t1_RSP-03_01_w0017,rsp03_t1,test,0
rsp03_t1_RSP-03_01_w0018,rsp03_t1,test,0
rsp03_t1_RSP-03_01_w0019,rsp03_t1,test,0
rsp03_t1_RSP-03_01_w0021,rsp03_t1,test,1
rsp03_t1_RSP-03_2_w0000,rsp03_t1,test,1
rsp03_t1_RSP-03_2_w0001,rsp03_t1,test,1
rsp03_t1_RSP-03_2_w0002,rsp03_t1,test,0
rsp03_t1_RSP-03_2_w0003,rsp03_t1,test,0
rsp03_t1_RSP-03_2_w0004,rsp03_t1,test,0
rsp03_t1_RSP-03_2_w0005,rsp03_t1,test,0
rsp03_t1_RSP-03_2_w0006,rsp03_t1,test,1
rsp03_t1_RSP-03_2_w0007,rsp03_t1,test,1
rsp03_t1_RSP-03_2_w0008,rsp03_t1,test,1
rsp03_t1_RSP-03_2_w0009,rsp03_t1,test,0
rsp03_t1_RSP-03_2_w0010,rsp03_t1,test,0
rsp03_t1_RSP-03_2_w0011,rsp03_t1,test,0
rsp03_t1_RSP-03_2_w0012,rsp03_t1,test,0
rsp03_t1_RSP-03_2_w0013,rsp03_t1,test,0
rsp03_t1_RSP-03_2_w0014,rsp03_t1,test,0
rsp03_t1_RSP-03_2_w0015,rsp03_t1,test,0
rsp03_t1_RSP-03_2_w0016,rsp03_t1,test,0
rsp03_t1_RSP-03_2_w0017,rsp03_t1,test,0
rsp03_t1_RSP-03_2_w0018,rsp03_t1,test,0
rsp03_t1_RSP-03_2_w0019,rsp03_t1,test,0
rsp03_t1_RSP-03_2_w0021,rsp03_t1,test,1
rsp03_t3_RSP-03_3_w0000,rsp03_t3,validation,0
rsp03_t3_RSP-03_3_w0001,rsp03_t3,validation,0
rsp03_t3_RSP-03_3_w0002,rsp03_t3,validation,0
rsp03_t3_RSP-03_3_w0003,rsp03_t3,validation,0
rsp03_t3_RSP-03_3_w0005,rsp03_t3,validation,1
rsp03_t3_RSP-03_3_w0006,rsp03_t3,validation,1
rsp03_t3_RSP-03_3_w0008,rsp03_t3,validation,0
rsp03_t3_RSP-03_3_w0009,rsp03_t3,validation,0
rsp03_t3_RSP-03_3_w0010,rsp03_t3,validation,0
rsp03_t3_RSP-03_3_w0012,rsp03_t3,validation,1
rsp03_t3_RSP-03_3_w0013,rsp03_t3,validation,1
rsp03_t3_RSP-03_3_w0014,rsp03_t3,validation,0
rsp03_t3_RSP-03_3_w0015,rsp03_t3,validation,0
rsp03_t3_RSP-03_3_w0016,rsp03_t3,validation,0
rsp03_t3_RSP-03_3_w0017,rsp03_t3,validation,0
rsp03_t3_RSP-03_3_w0019,rsp03_t3,validation,1
rsp03_t3_RSP-03_3_w0020,rsp03_t3,validation,1
rsp03_t4_RSP-03_4_w0000,rsp03_t4,train,0
rsp03_t4_RSP-03_4_w0001,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0002,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0003,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0004,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0005,rsp03_t4,train,0
rsp03_t4_RSP-03_4_w0006,rsp03_t4,train,0
rsp03_t4_RSP-03_4_w0007,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0008,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0009,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0010,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0011,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0012,rsp03_t4,train,0
rsp03_t4_RSP-03_4_w0013,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0014,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0015,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0016,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0017,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0018,rsp03_t4,train,0
rsp03_t4_RSP-03_4_w0019,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0020,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0021,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0022,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0023,rsp03_t4,train,0
rsp03_t4_RSP-03_4_w0025,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0026,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0027,rsp03_t4,train,1
rsp03_t4_RSP-03_4_w0028,rsp03_t4,train,1
rsp03_t5_RSP-03_5_w0000,rsp03_t5,train,0
rsp03_t5_RSP-03_5_w0001,rsp03_t5,train,1
rsp03_t5_RSP-03_5_w0002,rsp03_t5,train,1
rsp03_t5_RSP-03_5_w0003,rsp03_t5,train,1
rsp03_t5_RSP-03_5_w0004,rsp03_t5,train,0
rsp03_t5_RSP-03_5_w0005,rsp03_t5,train,0
rsp03_t5_RSP-03_5_w0006,rsp03_t5,train,0
rsp03_t5_RSP-03_5_w0007,rsp03_t5,train,0
rsp03_t5_RSP-03_5_w0008,rsp03_t5,train,1
rsp03_t5_RSP-03_5_w0009,rsp03_t5,train,1
rsp03_t5_RSP-03_5_w0010,rsp03_t5,train,1
rsp03_t5_RSP-03_5_w0011,rsp03_t5,train,0
rsp03_t5_RSP-03_5_w0012,rsp03_t5,train,0
rsp03_t5_RSP-03_5_w0013,rsp03_t5,train,0
rsp03_t5_RSP-03_5_w0014,rsp03_t5,train,0
rsp03_t5_RSP-03_5_w0015,rsp03_t5,train,0
rsp03_t5_RSP-03_5_w0016,rsp03_t5,train,1
rsp03_t5_RSP-03_5_w0018,rsp03_t5,train,0
rsp03_t5_RSP-03_5_w0019,rsp03_t5,train,0
rsp03_t5_RSP-03_5_w0020,rsp03_t5,train,0
rsp03_t5_RSP-03_5_w0022,rsp03_t5,train,1
rsp03_t5_RSP-03_5_w0023,rsp03_t5,train,1
rsp03_t5_RSP-03_5_w0025,rsp03_t5,train,0
rsp03_t5_RSP-03_5_w0026,rsp03_t5,train,0
