capture_id,snr_db,frequency_drift_hz,drift_rate_hz_per_second,smoothness_score,valid_signal_ratio,peak_power,mean_power,occupied_bandwidth_hz,signal_duration_seconds,label,is_synthetic,source_file,sample_rate_hz,nperseg,noverlap,notes,recording_id
rsp03_t1_RSP-03_01_w0000,14.363843864190462,0.0,0.0,49889.03635433661,1.0,-35.91867436570191,-60.74103847886857,741210.9375,0.998912,1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=0-1000000,1000000.0,1024,512,known-carrier label: on_fraction=0.55 at +1.0 kHz; rule_detector=0,rsp03_t1
rsp03_t1_RSP-03_01_w0001,14.363702561442604,96679.6875,96784.9895686507,56613.88259985683,1.0,-33.194868998587964,-60.87944313791365,742187.5,0.998912,1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=1000000-2000000,1000000.0,1024,512,known-carrier label: on_fraction=0.35 at +1.0 kHz; rule_detector=0,rsp03_t1
rsp03_t1_RSP-03_01_w0002,11.535652531648305,371093.75,371497.9397584572,79736.39062154955,1.0,-45.583967358050415,-60.81417038073807,741210.9375,0.998912,0,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=2000000-3000000,1000000.0,1024,512,known-carrier label: on_fraction=0.05 at +1.0 kHz; rule_detector=0,rsp03_t1
rsp03_t1_RSP-03_01_w0003,11.578946795042636,181640.625,181838.4652501922,77892.65918877993,1.0,-45.0655756122266,-60.92817445515756,739257.8125,0.998912,0,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=3000000-4000000,1000000.0,1024,512,known-carrier label: on_fraction=0.05 at +1.0 kHz; rule_detector=0,rsp03_t1
rsp03_t1_RSP-03_01_w0004,11.568162454701888,81054.6875,81142.97105250512,72076.80649879023,1.0,-45.21643463285549,-61.00134905166925,738281.25,0.998912,0,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=4000000-5000000,1000000.0,1024,512,known-carrier label: on_fraction=0.06 at +1.0 kHz; rule_detector=0,rsp03_t1
rsp03_t1_RSP-03_01_w0005,11.576823603956305,416015.625,416468.7429923757,68137.7284200686,1.0,-44.691486774328496,-61.03430671651823,739257.8125,0.998912,0,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=5000000-6000000,1000000.0,1024,512,known-carrier label: on_fraction=0.05 at +1.0 kHz; rule_detector=0,rsp03_t1
rsp03_t1_RSP-03_01_w0006,20.882511970063096,137695.3125,137845.2881735328,52244.14327301307,1.0,-29.76005658586413,-63.66797528234115,736816.40625,0.998912,1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=6000000-7000000,1000000.0,1024,512,known-carrier label: on_fraction=0.42 at +1.0 kHz; rule_detector=0,rsp03_t1
rsp03_t1_RSP-03_01_w0007,28.8403333345134,269531.25,269824.819403511,31700.5038853556,1.0,-29.599837689821943,-66.09948389339581,736328.125,0.998912,1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=7000000-8000000,1000000.0,1024,512,known-carrier label: on_fraction=0.69 at +1.0 kHz; rule_detector=0,rsp03_t1
rsp03_t1_RSP-03_01_w0008,19.55348544337239,295898.4375,296220.72564950667,57118.19355962374,1.0,-29.847292795470203,-63.17653909464891,740234.375,0.998912,1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=8000000-9000000,1000000.0,1024,512,known-carrier label: on_fraction=0.38 at +1.0 kHz; rule_detector=0,rsp03_t1
rsp03_t1_RSP-03_01_w0009,11.58081107245636,296875.0,297198.3518067658,71578.24203899465,1.0,-45.720319234827386,-61.025736927755794,739257.8125,0.998912,0,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=9000000-10000000,1000000.0,1024,512,known-carrier label: on_fraction=0.05 at +1.0 kHz; rule_detector=0,rsp03_t1
rsp03_t1_RSP-03_01_w0010,11.569313883221046,83007.8125,83098.22336702333,72756.57201018959,1.0,-44.94689785741112,-61.01500362837228,740234.375,0.998912,0,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=10000000-11000000,1000000.0,1024,512,known-carrier label: on_fraction=0.05 at +1.0 kHz; rule_detector=0,rsp03_t1
