capture_id,snr_db,frequency_drift_hz,drift_rate_hz_per_second,smoothness_score,valid_signal_ratio,peak_power,mean_power,occupied_bandwidth_hz,signal_duration_seconds,label,is_synthetic,source_file,sample_rate_hz,nperseg,noverlap,notes
synth_neg_001,1.1,207.3,9.1,8818.59,0.022,0.37,-77.5,205.8,3.07,0,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_neg_002,1.95,320.9,4.62,8714.65,0.078,-0.71,-80.36,191.4,4.23,0,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_pos_005,14.93,14385.2,374.42,99.93,0.76,12.54,-66.86,2189.5,38.49,1,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_neg_003,0.55,325.2,1.87,8543.67,0.131,0.6,-74.0,679.2,6.01,0,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_neg_012,2.91,57.7,4.43,8941.14,0.016,4.04,-77.28,854.9,4.06,0,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_pos_007,15.0,12667.7,492.1,220.13,0.835,9.83,-55.33,2759.5,28.21,1,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_neg_011,2.66,74.7,32.91,8062.09,0.119,-1.35,-73.99,434.9,5.03,0,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_pos_011,13.07,15513.7,504.18,97.36,0.806,10.25,-58.04,3699.8,23.47,1,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_neg_013,0.34,508.6,13.66,10095.47,0.056,4.21,-74.16,454.0,6.4,0,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_pos_008,14.0,12930.9,409.57,67.47,0.857,10.12,-60.15,2333.5,31.13,1,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_pos_010,10.03,13065.1,500.12,177.48,0.947,10.24,-64.72,3686.3,30.0,1,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_neg_014,0.0,8.8,3.1,7905.97,0.088,2.59,-73.71,126.2,5.02,0,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_neg_004,0.7,226.3,12.18,9980.25,0.058,-0.22,-72.65,722.4,5.62,0,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_pos_013,10.48,9769.9,521.57,160.34,0.719,12.06,-62.15,2668.0,30.3,1,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_pos_012,8.47,11374.9,487.64,163.77,0.855,8.28,-61.12,3815.3,33.57,1,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_neg_010,1.48,429.2,1.95,6759.52,0.047,2.05,-76.66,243.3,6.66,0,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_pos_006,10.33,12422.6,312.41,182.12,0.715,8.47,-58.74,2122.1,35.14,1,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_neg_005,0.37,286.9,14.65,10173.68,0.118,2.63,-80.81,327.8,6.14,0,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_neg_006,2.63,67.5,5.99,10479.84,0.071,1.24,-77.92,590.9,7.85,0,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
synth_pos_003,16.06,12746.1,441.9,123.06,0.972,8.69,-59.17,2412.8,33.32,1,1,"synthetic - generated by scripts used to build data/training/synthetic_example.csv, not a real capture",,,,SYNTHETIC DEMO DATA - do not use to claim real model accuracy
